action_detail,user_id,action,count_action_type,device_type,secs_elapsed,Category,,categ_dist,sum_categ
view_identity_verifications,57,57,57,57,57,Searching,,,
calculate_worth,56,56,56,56,56,Listing,,,
alteration_request,42,42,42,42,42,Miscellaneous,,,
change_availability,42,42,42,42,42,Listing,,,
view_resolutions,42,42,42,42,42,Searching,,,
view_user_real_names,38,38,38,38,38,Searching,,,
create_alteration_request,27,27,27,27,27,Booking,,,
phone_numbers,27,27,27,27,27,Admin,,,
set_default_payment_instrument,19,19,19,19,19,Admin,,,
view_ghosting_reasons,19,19,19,19,19,Searching,,,
view_ghostings,19,19,19,19,19,Searching,,,
homepage,13,15,15,15,15,Admin,,,
respond_to_alteration_request,11,11,11,11,11,Admin,,,
deactivate_user_account,9,9,9,9,9,Cancellation,,,
delete_listing_description,6,6,6,6,6,Listing,,,
delete_payment_instrument,6,6,6,6,6,Admin,,,
booking,4,4,4,4,4,Booking,,,
host_respond,4,4,4,4,4,Listing,,,
special_offer_field,3,3,3,3,3,Searching,,,
host_refund_guest,2,2,2,2,2,Cancellation,,,
host_respond_page,2,2,2,2,2,Listing,,,
tos_2014,2,2,2,2,2,Miscellaneous,,,
host_standard_suspension,1,1,1,1,1,Research,,,
